ID,premise_english,hypothesis_english,original_label,assigned_phenomenon
ANLI18530,"Also , his evenings were so full of work that he seldom joined the others in Rainbow Valley now .<br>He seemed to be drifting away into grown-up land .<br>`` What is the matter with you all to-night ? ''<br>he asked .<br>`` There 's no fun in you . ''<br>`` Not much , '' agreed Faith dolefully .<br>`` There would n't be much fun in you either if YOU knew you were disgracing your father and making people talk about you . ''<br>`` Who 's been talking about you now ? ''<br>`` Everybody -- so Mary Vance says . ''<br>And Faith poured out her troubles to sympathetic Jem .",The statement names people whos names start with an M and a F,Entailment,conditionality
ANLI19007,"But I thought you were saying that if you accept the Copyright Clause argument, then you have a way, in effect, of devaluing the Government's claim of its important interest and important objective when you get to the First Amendment intermediate scrutiny analysis.",Copyright Clause has a zz,Contradiction,conditionality
ANLI19092,"How to wake up in the middle of the night<br>Practice by waking up at the same time for a month. Nerves in your brain control your body's clock, known as your circadian rhythm. This rhythm is established by following a predictable routine, which is why you are able to wake up at the same time on the weekend as you are during the week if all factors are equal.",Your heart control's your body's clock.,Contradiction,conditionality
ANLI19250,"``this section, the Ministers and the minister responsible for the other Act referred to in paragraph (6)( a ) are responsible for determining whether or not the requirements referred to in that paragraph are met by that other Act or regulations made under that Act, and ( a ) if the Ministers and that other minister determine that the''",there is another paragraph,Neutral,conditionality
ANLI19859,"How to prevent lung cancer<br>Stop smoking tobacco products. Cigarette and tobacco smoke contains harmful substances known as carcinogens that can damage the cells lining your lungs. Over time, smoking can lead to the development and multiplication of abnormal cells and increase your risk for lung cancer.","If smoking causes abnormal cells, then abnormal cells are the sole cause of cancer.",Neutral,conditionality
ANLI20592,"North Korea states intention to restart reactors, throws out IAEA inspectors and takes down inspection cameras, announces immediate withdrawal from the Nuclear Non-Proliferation Treaty and makes threats of war if the UN or the United States imposes sanctions.",North Korea has installed new inspection cameras. ,Contradiction,conditionality
ANLI21078,"How to win in an unarmed combat situation<br>First of all, it is imperative that you assess your situation. Going into a fight blind will never end well. Assess why your adversary is picking a fight and if he is alone, intoxicated, or armed.",you can win if the opponent is alone.,Neutral,conditionality
ANLI22549,How to price used cars<br>Know the market. Can your car sell-off easily? Is it in demand? Will you have to drop your price in case there isn't much demand? Is it the right time to sell your car? Gather information about your car. The next step is to know your car well.,Selling a car is like selling water in a desert,Contradiction,conditionality
ANLI23159,"Oh, yes. There were not many meetings where Bill Buckingham did not speak. And, actually, at that meeting -- I believe the beginning of the meeting was an apology, actually, which he had prepared in advance apologizing to the members of the community if he had said anything that offended them.",Buckingham usually spoke at meetings.,Entailment,conditionality
ANLI23892,"How to clean ceramic floor tile<br>Sweep or vacuum twice a week. Using a dry mop or vacuum is ideal, although you can sweep with a broom if you're in a hurry. Opt for a soft and fluffy dust mop, preferably with a removable end that's machine washable.",Mopping is necessary for this type of tile,Contradiction,conditionality
ANLI23917,"How to find immunization records<br>Call your healthcare provider. If you still have the name and contact information for the doctor or clinic that gave you immunizations, they typically have those records on file. In most cases, this is the fastest way to get your immunization record.",Doctors will keep track of a patient's vaccination history,Entailment,conditionality
ANLI24337,"No. That's too amorphous a question. The issue here, I'll restate, is the veracity of the articles themselves, did the reporter hear the statement as reported. If it was taken out of context, we're not going to delve into that in this examination. The individual who believes -- who was quoted and believes the statement was taken out of context or flatly that he didn't or she didn't say it and it's inaccurate will have the opportunity to say that during the defendants case-in-chief or at any other time during the trial.",The question is hard to answer,Entailment,conditionality
ANLI24459,"I agree, and this Court has -- just talking about the judgment of the Congress the 105th Congress in 1998. This is the way the argument that somehow implicitly the initial 1790 copyright statute was saying to people, you get a copyright if you exchange whatever existing rights you have. That simply does not make any sense. There is no language, and it's a relatively late-discovered argument, because it sees its full --",copyright laws have been around over 200 years,Entailment,conditionality
ANLI24763,"""This letter is in regard to the comments made by Beth Eveland from York Township in the June York Sunday News. I assure you that the Dover Area School Board is not going against its mission statement. In fact, if you read the statement, it says to educate our students so that they can be contributing members of society.",This important letter is in regard to the comments made by Beth Eveland,Neutral,conditionality
ANLI24839,"How to make haloumi cheese<br>Heat the milk to 34ºc/93.2ºf. Add the rennet, stirring well. Cover the milk with cling film, or the pot lid, if available. Set in a warm place, wrapped in towels to keep it warm.",Haloumi cheese is best to eat outside,Neutral,conditionality
Fever10765,"Belgium . Despite the reforms , tensions between the groups have remained , if not increased ; there is significant separatism particularly among the Flemish ; controversial language laws exist such as the municipalities with language facilities ; and the formation of a coalition government took 18 months following the June 2010 federal election , a world record . The Flemish or Flemings ( Vlamingen ) are a Germanic ethnic group native to Flanders , in modern Belgium , who speak Dutch , especially any of its dialects spoken in historical Flanders , known collectively as Flemish Dutch . Flemish people make up the majority of the Belgian population ( about 60 % ) .",Belgium is mostly Flemish.,Entailment,conditionality
Fever13815,"Lyme disease , also known as Lyme borreliosis , is an infectious disease caused by bacteria of the Borrelia type . The most common sign of infection is an expanding area of redness on the skin , known as erythema migrans , that begins at the site of a tick bite about a week after it has occurred . If an infection develops , a number of antibiotics are effective , including doxycycline , amoxicillin , and cefuroxime . Some healthcare providers claim that it is due to ongoing infection ; however , this is not believed to be true .",Lyme disease is genetic.,Contradiction,conditionality
Fever14447,"Austria . In 1938 Nazi Germany annexed Austria in the Anschluss . The European Union ( EU ) is a political and economic union of member states that are located primarily in Europe . Nazi Germany . Beginning in the late 1930s , Nazi Germany made increasingly aggressive territorial demands , threatening war if they were not met . It seized Austria and Czechoslovakia in 1938 and 1939 .",Austria is a film.,Contradiction,conditionality
Fever19163,"`` Rich Girl '' is a song by American singer and songwriter Gwen Stefani from her debut solo studio album , Love . Produced by Dr. Dre , the track features American rapper Eve , and is a remake of Louchie Lou & Michie One 's 1993 song of the same name , which is in turn an adaptation of the Fiddler on the Roof song `` If I Were a Rich Man '' .",Rich Girl features a German rapper.,Neutral,conditionality
Fever19260,"Louis Tomlinson . Tomlinson began his career as an actor , initially appearing in ITV drama Fat Friends as an extra . He also went on to appear in another ITV drama film If I Had You and the BBC drama Waterloo Road .",Louis Tomlinson appeared in an ITV comedy.,Contradiction,conditionality
Fever20288,"13 Going on 30 ( released as Suddenly 30 in some countries ) is a 2004 American romantic comedy fantasy film written by Josh Goldsmith and Cathy Yuspa and directed by Gary Winick . Catch Me If You Can is a 2002 American biographical crime film based on the life of Frank Abagnale , who , before his 19th birthday , successfully performed cons worth millions of dollars by posing as a Pan American World Airways pilot , a Georgia doctor , and a Louisiana parish prosecutor . Elektra is a 2005 Canadian-American superhero film directed by Rob Bowman . Jennifer Garner . While working on Alias , Garner gained a cameo role in Catch Me if You Can ( 2002 ) , followed by a praised leading performance in the romantic comedy film 13 Going on 30 ( 2004 ) . The Invention of Lying is a 2009 American fantasy romantic comedy film written and directed by Ricky Gervais and Matthew Robinson ( in their directorial debuts ) .",Jennifer Garner was in a movie.,Entailment,conditionality
Fever23207,"Gregory House , M.D. , commonly referred to by his surname House , is the title character of the American medical drama series House . James Wilson (House) . The character first appears in the show 's pilot episode when he introduces a medical case to Dr. Gregory House . Wilson 's portrayer , Robert Sean Leonard , has stated that his character and Dr. House were originally supposed to play these roles ; but Dr. House 's diagnostic team has taken over Dr. Watson 's part .",James Wilson is a real person yet to be made into a fictional character.,Contradiction,conditionality
LING3,The Star covers George Michael's arrest for exposing himself in a men's room at Los Angeles' Will Rogers Memorial Park as if it's writing a review.,Mr. Michael will be prosecuted.,Neutral,conditionality
LING51,"Oh, to get an invitation to that bris!",One would feel slighted if they received an invitation to a bris.,Contradiction,conditionality
LING256,"If you've installed Internet Explorer 4.0, click here for more about (and a chance to download) the channel.",The channel has since been removed for download from the internet.,Neutral,conditionality
LING345,"If you've installed Internet Explorer 4.0, click here for more about (and a chance to download) the channel.",A prerequisite for downloading the channel is having Internet Explorer installed.,Entailment,conditionality
LING414,"If the number of voters is literally infinite, then the conclusion can be overturned.",There is a set number of voters.,Contradiction,conditionality
LING595,"Scholes and Merton reportedly are applauded when they appear on the floor of the options exchange, which shows that options traders are at least appreciative, if not deserving, of the rare charities that they receive.",Options traders slapped the palms of their hands together in applause for Scholes and Merton,Entailment,conditionality
LING616,The MacDonalds of the world won't go away just because you think they're not worth responding to.,"If we don't pay attention to the MacDonalds of the world, they will just go away on their own.",Contradiction,conditionality
LING740,"If 20 percent of new mutual fund money is now going into indexed funds, as opposed to 3 percent in 1994, we can have some confidence that the indexers are planting the seeds of their own destruction.",It's a very positive sign that 20% of new mutual fund money is going into indexed funds.,Contradiction,conditionality
LING1002,"Teacher of the Year Andrew Baumgartner is the kind of educator who has delighted his kindergarten students with a wedding for Sleeping Beauty, complete with limousine and cake, teaching them, I suppose, that nothing is worthwhile unless it is entertaining.",Andrew Baumgartner is a boring teacher,Contradiction,conditionality
LING1028,They think the big boys knew the risks but believed that if LTCM came to grief its creditors would be protected from loss by the government.,The big boys thought it was risk free.,Contradiction,conditionality
LING1111,"If you haven't filled it out yet, click here for the survey.",The survey is available for taking online.,Entailment,conditionality
LING1248,There is little doubt about the pro-choice media's unquestioning acceptance of the faulty pro-choice statistics.,"The Pro-choice media is willing to except stats that support their claim, even if they're incorrect.",Entailment,conditionality
LING1256,"The cover profile makes Jerry Seinfeld seem quite charming, if a tad immature.",Jerry Seinfeld makes quite charming seem a tad immature.,Contradiction,conditionality
LING1288,"If such evidence is present, return Kennewick Man to his rightful tribal reservation.",Kennewick Man has a choice to make himself about his reservation if evidence is existent.,Neutral,conditionality
LING1351,"Scholes and Merton reportedly are applauded when they appear on the floor of the options exchange, which shows that options traders are at least appreciative, if not deserving, of the rare charities that they receive.",Often one hears applause on the options exchange floor.,Neutral,conditionality
LING1372,"If Clinton were going to apologize, Lewinsky's new image would be safe.","As it turns out, Lewinsky and Tripp would become good friends if Clinton expressed his sorrow and remorse.",Neutral,conditionality
LING1388,"If there is a cultural civil war going on, the Mediaphiles--led by Wall Street--have routed the 'phobes.",There is a cultural civil war going on.,Neutral,conditionality
LING1500,"If you can find a way to deal with and improve their relationship, what she calls him will become a moot point.","Thus, you shall pull asunder the bonds of them, making what she says and calls unto him verily, null.",Contradiction,conditionality
LING1524,"But if they just gave the magazine away, advertisers would lose interest.",Advertisers would abandon the periodical if it were free,Entailment,conditionality
LING1563,But he never makes clear that buying on margin means that you stand to lose a lot more when you make a mistake.,He stands to lose a lot more if he buys at a margin.,Entailment,conditionality
LING2152,"Another source predicts if Sheen doesn't shape up, it's only a matter of time before they'll be printing his obituary.",Sheen is on a path that leads to death.,Entailment,conditionality
LING2287,"Meanwhile, if you believe in the domestication of animals as pets, that's a personal choice.","After successfully domesticating animals, it's a personal choice to use them as pets",Entailment,conditionality
LING2336,"If that's censorship, so be it (Bill Reel, Newsday ). (Click here to read Jon Robin Baitz's take on the controversy in Slate 's Diary.",You can click here to read Jon Robin Baitz's take on the controversy and his opinion on censorship.,Neutral,conditionality
LING2356,"If the fast-food world had only three players, and McDonalds's proposed to buy out Burger King, how reassured would we be if they offered the palliative of selling a few franchises to Taco Bell?",What if there was another player?,Neutral,conditionality
LING2392,"Landsburg notes, What if he [the president] keeps us out of war through policies that make the world more dangerous for our children?",Landsburg is criticizing the United States of America.,Neutral,conditionality
LING2547,"Ad revenue increased but not enough to cover enormous new  Recruiting new subscribers by direct mail, printing more magazines, and mailing more magazines are tremendously expensive operations.","Few, if any physical publications are pricey - for the most part, they are very affordable.",Contradiction,conditionality
LING2560,"If a fetus is a fully human life, then all abortion is murder and the debate over any particular procedure is beside the point.",The abortion procedure matters,Contradiction,conditionality
LING2838,IRA accounts allow income-earners to duck some taxation on that income if they promise to save it until they're old.,Using the IRA account before retiring can produce tax benefits,Contradiction,conditionality
LING2909,"Unless the name of your house is Ritz-Carlton, bag the subtle approach, and give them a deadline for their departure.",A subtle approach for their exit is acceptable,Contradiction,conditionality
LING2987,"And those few who've not yet plummeted to a fiery death possess so vivid a sense of their own mortality, that they'd instantly cancel Larry King. OK, look at it this  If more congressmen and CNN executives rode the New York City subway, then trains, not planes, would suffer from unrelenting crowding, lack of privacy, infrequent communications with family and the outside world.",There are congressmen who have ridden the New York City subway.,Neutral,conditionality
LING3015,"Why, if Isikoff's so bad?",Isikoff's journalism has brought him disdain from others.,Entailment,conditionality
LING3050,"Bill Gates realized it would be more efficient if all computers, regardless of manufacturer, ran the same system (which is why he's the richest man in America today).",Bill Gates struggles to pay his bills.,Contradiction,conditionality
LING3075,"If you missed the links within this review, click for the of how critics dismissed a whole genre of social novels written by women ...",Critics are dismissive of all social novels.,Neutral,conditionality
LING3196,"If you eat a whole lot of lobster, people will call you a pig.",Dining on Crustaceans make you seem like you eat in a birdlike manner.,Contradiction,conditionality
LING3245,"If you missed the demonstration that either diGenova or Toensing was the original source for the Dallas Morning News report about a Secret Service agent who witnessed Clinton and Lewinsky in a compromising situation, click here.",The report in Dallas Morning News helped to shed more light into the event that took place between Clinton and Lewinsky.,Neutral,conditionality
LING3267,And he would certainly consent if the alternative was impeachment.,He consented because the alternative was impeachment.,Neutral,conditionality
LING3281,"However, if the second possibility were correct, then both George Bush Sr.'s and George W.' southern identities would have to be called into question.",George Bush Sr.'s and George W Bush are both from the south,Neutral,conditionality
LING3352,So what if all the negatives are lost?,Most of the negatives reappeared.,Contradiction,conditionality
LING3446,If abortion is not wrong--irrespective of the circumstances--then the issue becomes a tradeoff among unpleasant alternatives.,Abortion is unpleasant.,Neutral,conditionality
LING3544,4) Who cares whether the judges are honest?,Some people care if the judges are honest.,Neutral,conditionality
LING3625,"If partial-birth abortion is too gruesome to allow, however, it is hard to see how other late abortions, especially D and Es, are any different.","Partial-birth abortions, D and Es are all the same.",Neutral,conditionality
LING3688,No way he'd be with her if this wasn't an instructional sex video!,"The couple are making a gay video, they had never met beforehand.",Contradiction,conditionality
LING4035,"If so, it seems to have worked.",It looked like it was going to fail.,Neutral,conditionality
LING4154,"If you missed the link to the refresher on harassment law and its history, click .",The refresher course is mandatory,Neutral,conditionality
LING4212,"If there is a good reason, it has to do with our final question.",the reason is within the answer.,Neutral,conditionality
LING4429,"Bending over backward to show how sensitive they can be, they forget that violence--even if it's just emotional violence--belongs in ordinary dramas, too.",No violence in ordinary drams is wrong.,Neutral,conditionality
LING4489,"If there is a cultural civil war going on, the Mediaphiles--led by Wall Street--have routed the 'phobes.",The Mediaphiles are seen as a new era.,Neutral,conditionality
LING4498,are laughing at us saying if we make it thsese [ sic ] stupid ass Niggaz Will Buy it.,They were definitely going to buy it.,Contradiction,conditionality
LING4649,"If there is a cultural civil war going on, the Mediaphiles--led by Wall Street--have routed the 'phobes.",Wall Street and the Mediaphiles have a lot in common.,Entailment,conditionality
LING4653,"The recent clamor in the press and among some politicians to allow patients to sue insurers for medical malpractice makes it sound as if we are going in the wrong direction here, too.",The absence of patients suing insurers would be a step in the right direction.,Entailment,conditionality
LING4677,"If he becomes a serious threat, Livingston and other GOP leaders will make sure to stop him.",He intends to become a serious threat,Neutral,conditionality
LING4686,"If you are worried about that story, it means one of two things.",The story is hilarious.,Contradiction,conditionality
LING4831,"It is hard to imagine, though, why any government would embargo such a product, unless the plastic surgeons' lobby has already got to them.",The government does not control embargos,Contradiction,conditionality
MNLI34,"To hold costs down, the $24 billion program doesn't cover kids who are currently insured.",If you have a kid who is already covered by insurance then the program will not cover them. ,Entailment,conditionality
MNLI166,"If it convinces you it's a masterpiece, it does so by sheer brute force.",No one will conclude that it is a masterpiece on their own accord.,Neutral,conditionality
MNLI759,that if the the laws and and uh were were harsher and were enforced,if only there were severe consequences from the law,Entailment,conditionality
